canonical_name,varian_ejaan (|| separated),platform_terlihat,jumlah_deal,harga_min,harga_median,harga_modus,harga_max,durasi_bulan_terlihat,contoh_tanggal_closing_terakhir,usulan_standard_price (KOSONGKAN — diisi Sales Head),usulan_commission_rule (KOSONGKAN — diisi Sales Head),catatan
HAKI,HAKI||Haki,Dokumen,24,200000,3800000,3800000,45000000,1|6,2026-06-29,,,
Traffic Tiktok Shop Awareness Basic 360,Traffic Tiktok Shop Awareness Basic 360,TikTok|TikTok Shop,22,4000000,15000000,15000000,15000000,1,2026-06-24,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Traffic Tiktok Awareness 360 Basic || Traffic Tiktok Shop Awareness Premium 360"
GMV MAX MEA,GMV MAX MEA,TikTok|TikTok Shop,20,5000000,19000000,13500000,66000000,6|12|15,2025-07-20,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): GMV Max Mea Basic || GMV Max Tiktok MEA Premium || GMV Max MEA Intensive Premium || GMV Max Mea Premium || GMV Max Mea Pro"
Management Tiktok Shop Shopping Centre Optimization Basic,Management Tiktok Shop Shopping Centre Optimization Basic,TikTok Shop,17,691898,10000000,10000000,10000000,1|3|6|12,2026-05-25,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Management Tiktok Shop Shopping Centre Optimization Pro
Meta Ads CPAS x Shopee Basic,Meta Ads CPAS x Shopee Basic,Meta|Shopee,17,1000000,21600000,24300000,31500000,1|3|6,2026-06-29,,,"muncul di >1 platform: Meta, Shopee ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Meta Ads CPAS x Shopee Premium || Meta Ads CPAS x Shopee Pro || Jasa Meta Ads CPAS x Shopee Premium || META Ads CPAS x Shopee || Meta CPAS x Shopee"
GMV MAX Advertising Management,GMV MAX Advertising Management,TikTok|TikTok Shop,14,10000000,30250000,10000000,65500000,6,2026-06-29,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Komitmen Fee GMV MAX Advertising Management"
GMV Max Mea Premium,GMV Max Mea Premium,TikTok|TikTok Shop,14,13000000,53250000,66000000,66000000,1|3|6,2026-06-24,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): GMV MAX MEA || GMV Max Mea Basic || GMV Max Tiktok MEA Premium || GMV Max MEA Intensive Premium || GMV MAX Premium"
Management Tiktok Shop Shopping Centre Optimization Pro,Management Tiktok Shop Shopping Centre Optimization Pro,Shopee|TikTok Shop,13,5000000,10000000,10000000,10000000,6,2025-09-13,,,"muncul di >1 platform: Shopee, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Management Tiktok Shop Shopping Centre Optimization Basic"
Endorsement Konten Tiktok Premium,Endorsement Konten Tiktok Premium,TikTok,13,2925000,9750000,10000000,10000000,1|2,2026-03-13,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Endorsement Konten Tiktok Premium+ || Endorsement Konten Tiktok Basic
Endorsement Konten Tiktok Basic,Endorsement Konten Tiktok Basic,TikTok|TikTok Shop,13,1508000,3770000,3770000,46329173,1,2026-05-25,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Endorsement Konten Tiktok Premium"
Jasa Desain 25 SKU,Jasa Desain 25 SKU,Shopee|TikTok Shop,11,1125000,2250000,2250000,2250000,1,2026-05-01,,,"muncul di >1 platform: Shopee, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Desain 50 SKU || Jasa desain marketplace 50 SKU"
Jasa Foto Katalog,Jasa Foto Katalog,Shopee|TikTok|TikTok Shop|Tokopedia,11,250000,500000,250000,5000000,1,2026-04-24,,,"muncul di >1 platform: Shopee, TikTok, TikTok Shop, Tokopedia ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Foto Katalog Tematik || Jasa Foto Katalog dan Model"
Live Affiliate 3 Affiliator 16 Jam Night,Live Affiliate 3 Affiliator 16 Jam Night,Shopee|TikTok,11,2925000,4550000,7800000,7800000,1,2026-02-16,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Live Affiliate 1 Affiliator 16 Jam Day || Live Affiliate 1 Affiliator 30 Jam Day || Live Affiliate 1 Affiliator 30 Jam Night || Live Affiliate 3 Affiliator 16 Jam Day || Live Affiliate 3 Affiliator 30 Jam Night"
NIB,NIB,Dokumen,11,500000,1000000,1000000,1500000,1,2026-06-19,,,
Budget Ads + PPN 11%,Budget Ads + PPN 11%,Shopee|TikTok|TikTok Shop,11,10000000,10000000,10000000,10000000,6,2026-05-16,,,"muncul di >1 platform: Shopee, TikTok, TikTok Shop"
Tiktok Ads Basic,Tiktok Ads Basic,TikTok|TikTok Shop,10,4500000,16050000,8250000,33000000,1|3|6|12,2026-06-15,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Tiktok Ads Basic+ || Tiktok ads"
Tiktok Ads Premium,Tiktok Ads Premium,TikTok|TikTok Shop,10,500000,14850000,14850000,66000000,3|6|15,2025-09-17,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Tiktok Ads Premium+ || Tiktok ads"
Jasa Live Shopee Basic,Jasa Live Shopee Basic,Shopee,10,1250000,3199500,3000000,56000000,1|16,2026-03-02,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Live Tiktok Basic || Jasa Live Shopee Basic+ || Jasa Live Shopee Basic 100 Jam || Jasa Live Shopee 50 Jam || Jasa Iklan Shopee Basic
Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 16 Jam Night,Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 16 Jam Night,Shopee|TikTok,10,225000,2925000,2925000,2925000,1,2026-04-20,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 15 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night"
Endorsement Konten Tiktok Premium+,Endorsement Konten Tiktok Premium+,TikTok|TikTok Shop,10,9523393,17000000,17000000,85000000,1|2,2026-04-09,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Endorsement Konten Tiktok Premium"
Saldo Ads,Saldo Ads,TikTok,10,9990000,10000000,10000000,55500000,6,2025-12-12,,,
Jasa Iklan Traffic Marketplace Premium,Jasa Iklan Traffic Marketplace Premium,Shopee,8,15000000,16720000,15200000,80000000,6|15,2025-10-18,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa iklan traffic Marketplace || Jasa Iklan Traffic Marketplace Basic || Jasa Iklan Traffic Marketplace Performance
Live Affiliate 1 Affiliator 16 Jam Night,Live Affiliate 1 Affiliator 16 Jam Night,Shopee|TikTok,8,1625000,2925000,2925000,2925000,1,2026-02-16,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Live Affiliate 1 Affiliator 16 Jam Day || Live Affiliate 3 Affiliator 16 Jam Night || Live Affiliate 1 Affiliator 30 Jam Day || Live Affiliate 1 Affiliator 30 Jam Night || Live Affiliate 3 Affiliator 16 Jam Day"
Jasa Iklan Riset Awareness,Jasa Iklan Riset Awareness,Shopee,7,1200000,3400000,3400000,3400000,1,2026-05-28,,,
Jasa Content Premium,Jasa Content Premium,TikTok,6,2317000,7200000,7500000,7500000,1,2026-05-08,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Content Premium+
Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 16 Jam Night,Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 16 Jam Night,Shopee|TikTok,6,6000000,7800000,6000000,9523393,1,2026-04-09,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 16 Jam Day"
Traffic Tiktok Shop Awareness Premium 360,Traffic Tiktok Shop Awareness Premium 360,TikTok|TikTok Shop,6,15000000,21500000,21500000,21500000,1,2026-04-13,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Traffic Tiktok Shop Awareness Premium+ 360 || Traffic Tiktok Shop Awareness Basic 360 || Traffic Tiktok Awareness 360 Premium"
Jasa Admin Campaign Marketplace,Jasa Admin Campaign Marketplace,Shopee|TikTok Shop,6,2000000,3250000,2000000,9000000,1|5|6|12,2026-04-07,,,"muncul di >1 platform: Shopee, TikTok Shop"
Tiktok Ads Premium+,Tiktok Ads Premium+,TikTok,5,5500000,5500000,5500000,16500000,1|3|6,2025-08-27,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Tiktok Ads Premium || Meta Ads Premium+ || Tiktok Ads Basic+
Jasa Buka Toko Online Pro,Jasa Buka Toko Online Pro,Shopee,5,15000000,18000000,18000000,18000000,1,2025-10-20,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Buka Toko Online Shopee || Jasa Buka Toko Online Basic || Jasa Buka Tooko Online Premium
Traffic Tiktok Shop Awareness Premium+ 360,Traffic Tiktok Shop Awareness Premium+ 360,TikTok,5,21500000,26700000,30000000,30000000,1,2026-04-14,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Traffic Tiktok Shop Awareness Premium 360 || Traffic Tiktok Awareness 360 Premium
Jasa Desain 50 SKU,Jasa Desain 50 SKU,Shopee,5,3150000,3150000,3150000,3150000,1,2026-05-06,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa desain marketplace 50 SKU || Jasa Desain 25 SKU
Shopee Video Affiliate 1 Affiliate 3 Video,Shopee Video Affiliate 1 Affiliate 3 Video,Shopee,4,1800000,2070000,1800000,2340000,1,2026-02-16,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Shopee Video Affiliate 3 Affiliate 3 Video
Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 16 Jam Day,Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 16 Jam Day,Shopee,4,2250000,2600000,2600000,2925000,1,2026-01-12,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 15 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 30 Jam Night
Optimasi Rating 200x,Optimasi Rating 200x,Shopee|TikTok Shop,4,2600000,2800000,2600000,3000000,1|2,2026-02-10,,,"muncul di >1 platform: Shopee, TikTok Shop"
Optimasi Rating Shopee 100x,Optimasi Rating Shopee 100x||Optimasi Rating 100x Shopee,Shopee,4,1300000,1300000,1300000,1300000,1,2025-12-16,,,digabung otomatis (typo/urutan kata) dari varian: Optimasi Rating 100x Shopee ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Optimasi Rating Shopee || Optimasi Rating Shopee 50x || Jasa Optimasi Rating 100x || Optimasi Rating 100x TikTok || Optimasi Rating 100x
Komitmen fee Paket GMV Max Mea Paket B,Komitmen fee Paket GMV Max Mea Paket B,TikTok,4,10000000,10000000,10000000,10000000,6,2026-01-31,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Komitmen Fee GMV Max Mea Paket B
Komitmen Fee,Komitmen Fee,Shopee|TikTok|TikTok Shop,4,10000000,10000000,10000000,10000000,6,2026-05-16,,,"muncul di >1 platform: Shopee, TikTok, TikTok Shop"
Riset Judul 25 SKU,Riset Judul 25 SKU,Shopee,3,1250000,1250000,1250000,1250000,1,2026-05-01,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Riset Judul 10 SKU
Jasa Pengajuan Tiktok Mall,Jasa Pengajuan Tiktok Mall,TikTok|TikTok Shop,3,5000000,5500000,5000000,6000000,1|6,2025-07-12,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Pengajuan Tiktok Mall || Jasa Pengajuan Shopee Mall"
Jasa Iklan Shopee Basic,Jasa Iklan Shopee Basic||ajasa iklan shoppe basic||Jasa iklan shoppe Basic,Shopee,3,3060000,4080000,3060000,9200000,3,2025-07-12,,,digabung otomatis (typo/urutan kata) dari varian: Jasa iklan shoppe Basic | ajasa iklan shoppe basic ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Live Shopee Basic || Jasa Iklan Shopee 3 SKU || Jasa Iklan Shopee 10 SKU || Jasa Iklan Shopee
GMV Max Mea Pro,GMV Max Mea Pro||GMV MAX MEA Pro,TikTok,3,38000000,90000000,38000000,120000000,6,2026-04-14,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): GMV MAX MEA || GMV Max Mea Basic || GMV Max Mea Premium
Jasa Trending Video Basic,Jasa Trending Video Basic,TikTok,3,4500000,4500000,4500000,4500000,1,2025-07-18,,,
Live Affiliate 3 Affiliator 16 Jam Day,Live Affiliate 3 Affiliator 16 Jam Day,Shopee|TikTok,3,3900000,3900000,3900000,7150000,1,2025-08-13,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Live Affiliate 1 Affiliator 16 Jam Day || Live Affiliate 3 Affiliator 16 Jam Night || Live Affiliate 1 Affiliator 30 Jam Day || Live Affiliate 1 Affiliator 30 Jam Night || Live Affiliate 3 Affiliator 30 Jam Night"
Jasa Content Premium+,Jasa Content Premium+,TikTok,3,13000000,15000000,13000000,17000000,1|2,2026-03-30,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Content Premium
Tiktok Mall,Tiktok Mall,TikTok,3,6000000,6000000,6000000,9000000,1,2026-05-12,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Pengajuan Tiktok Mall
Komitmen Fee GMV Max Tiktok Free Jasa Plus Komisi 5%,Komitmen Fee GMV Max Tiktok Free Jasa Plus Komisi 5%,TikTok,3,10000000,10000000,10000000,10000000,3|6,2025-11-25,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Fee Komitmen GMV Max MEA Free Biaya Jasa Free Komisi
Optimasi Rating 500x,Optimasi Rating 500x,Shopee,3,6000000,6000000,6000000,6000000,1,2026-03-05,,,
Paket Hemat Basic,Paket Hemat Basic,TikTok,3,15000000,15000000,15000000,15000000,6,2026-06-08,,,
GMV Max Event Paket B,GMV Max Event Paket B,Shopee|TikTok,3,10000000,10000000,10000000,20000000,6,2026-06-19,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): GMV Max Event Paket A"
Optimasi rating 100x CO,Optimasi rating 100x CO||Optimasi Rating 100x CO,Shopee,2,1300000,1300000,1300000,1300000,1,2025-06-16,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Optimasi Rating 100x || Optimasi Rating 100x TikTok || Optimasi Rating 100x || Optimasi Rating Shopee 100x || Jasa Optimasi Rating 100x CO
Live Affiliate 1 Affiliator 30 Jam Night,Live Affiliate 1 Affiliator 30 Jam Night,Shopee|TikTok Shop,2,2285000,3547500,2285000,4810000,1,2025-11-25,,,"muncul di >1 platform: Shopee, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Live Affiliate 1 Affiliator 16 Jam Day || Live Affiliate 3 Affiliator 16 Jam Night || Live Affiliate 1 Affiliator 30 Jam Day || Live Affiliate 3 Affiliator 16 Jam Day || Live Affiliate 3 Affiliator 30 Jam Night"
Tiktok Ads Basic+,Tiktok Ads Basic+,TikTok,2,4500000,6750000,4500000,9000000,1|2,2025-06-05,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Tiktok Ads Basic || Tiktok Ads Premium+
Tiktok ads,Tiktok ads,TikTok|TikTok Shop,2,5000000,7500000,5000000,10000000,3,2025-06-06,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Tiktok Ads Basic || Tiktok Ads Premium"
Meta Ads Premium,Meta Ads Premium,Meta,2,6500000,8250000,6500000,10000000,3,2025-06-19,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Meta Ads CPAS Premium || Meta Ads Premium+
Live Affiliate 3 Affiliator 30 Jam Night,Live Affiliate 3 Affiliator 30 Jam Night,Shopee|TikTok,2,6630000,10140000,6630000,13650000,1,2026-02-12,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Live Affiliate 1 Affiliator 16 Jam Day || Live Affiliate 3 Affiliator 16 Jam Night || Live Affiliate 1 Affiliator 30 Jam Day || Live Affiliate 1 Affiliator 30 Jam Night || Live Affiliate 3 Affiliator 16 Jam Day"
Jasa Foto Katalog Tematik,Jasa Foto Katalog Tematik,Shopee,2,1400000,1950000,1400000,2500000,1,2025-08-07,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Foto Katalog
META Ads CPAS x Shopee,META Ads CPAS x Shopee||Meta Ads CPAS x Shopee,Shopee,2,27000000,30000000,27000000,33000000,6,2025-07-11,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Meta Ads CPAS x Shopee Premium || Meta Ads CPAS x Shopee Pro || Meta Ads CPAS x Shopee Basic || Jasa Meta Ads CPAS x Shopee Premium || Meta CPAS x Shopee
Jasa Iklan Shopee Maksimal 10 SKU,Jasa Iklan Shopee Maksimal 10 SKU,Shopee,2,2900000,6550000,2900000,10200000,1|3,2025-12-11,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Iklan Shopee 10 SKU || Jasa Iklan Shopee 3 SKU || Jasa Iklan Shopee
Jasa Optimasi Rating 100x CO,Jasa Optimasi Rating 100x CO,Shopee|TikTok,2,1300000,1400000,1300000,1500000,1,2025-08-18,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Optimasi Rating 100x || Jasa optimasi rating || Optimasi Rating 100x || Optimasi rating 100x CO || Jasa Optimasi Rating 100x CO Shopee"
Meta CPAS x Shopee,Meta CPAS x Shopee,Shopee,2,6500000,8250000,6500000,10000000,3,2025-07-10,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Meta Ads CPAS x Shopee Basic || Meta Ads CPAS x Shopee Pro || META Ads CPAS x Shopee || Meta Ads CPAS x Shopee Premium
Riset Judul 10 SKU,Riset Judul 10 SKU,Lazada|Shopee,2,650000,650000,650000,650000,1,2025-08-01,,,"muncul di >1 platform: Lazada, Shopee ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Riset Judul 25 SKU"
Add On Talent,Add On Talent,Shopee,2,800000,1000000,800000,1200000,1,2025-09-09,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Add On Talent Foto || Add on || Add On Talent Video
GMV Max Basic,GMV Max Basic,TikTok|TikTok Shop,2,20000000,23500000,20000000,27000000,6|12,2025-08-18,,,"muncul di >1 platform: TikTok, TikTok Shop ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa GMV Max Basic || GMV Max Mea Basic"
Jasa Iklan Shopee 3 SKU,Jasa Iklan Shopee 3 SKU,Shopee,2,10800000,10800000,10800000,10800000,6,2026-01-12,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Iklan Shopee Maksimal 10 SKU || Jasa Iklan Shopee 10 SKU || Jasa Iklan Shopee Basic || Jasa Iklan Shopee
